;------Kaca--------;,,,,
CreateMeshBuilder,,,,
AddVertex,1.39,1.9,-11.35,
AddVertex,1.39,3.2,-11.35,
AddVertex,1.39,3.2,-8.15,
AddVertex,1.39,1.9,-8.15,
AddFace2,0,1,2,3
SetColor,80,80,160,90
,,,,
,,,,
CreateMeshBuilder,,,,
AddVertex,-1.39,1.9,-11.35,
AddVertex,-1.39,3.2,-11.35,
AddVertex,-1.39,3.2,-8.15,
AddVertex,-1.39,1.9,-8.15,
AddFace2,3,2,1,0
SetColor,80,80,160,90
Translate,0,0,0,
,,,,
CreateMeshBuilder,,,,
AddVertex,1.39,1.9,-11.35,
AddVertex,1.39,3.2,-11.35,
AddVertex,1.39,3.2,-8.15,
AddVertex,1.39,1.9,-8.15,
AddFace2,0,1,2,3
SetColor,80,80,160,90
Translate,0,0,4.8,
,,,,
CreateMeshBuilder,,,,
AddVertex,-1.39,1.9,-11.35,
AddVertex,-1.39,3.2,-11.35,
AddVertex,-1.39,3.2,-8.15,
AddVertex,-1.39,1.9,-8.15,
AddFace2,3,2,1,0
SetColor,80,80,160,90
Translate,0,0,4.8,
,,,,
CreateMeshBuilder,,,,
AddVertex,1.39,1.9,-11.35,
AddVertex,1.39,3.2,-11.35,
AddVertex,1.39,3.2,-8.15,
AddVertex,1.39,1.9,-8.15,
AddFace2,0,1,2,3
SetColor,80,80,160,90
Translate,0,0,-4.85,
,,,,
CreateMeshBuilder,,,,
AddVertex,-1.39,1.9,-11.35,
AddVertex,-1.39,3.2,-11.35,
AddVertex,-1.39,3.2,-8.15,
AddVertex,-1.39,1.9,-8.15,
AddFace2,3,2,1,0
SetColor,80,80,160,90
Translate,0,0,-4.85,
,,,,
CreateMeshBuilder,,,,
AddVertex,1.39,1.9,-11.15,
AddVertex,1.39,3.2,-11.15,
AddVertex,1.39,3.2,-9.5,
AddVertex,1.39,1.9,-9.5,
AddFace2,0,1,2,3
SetColor,80,80,160,90
Translate,0,0,9.45,
,,,,
CreateMeshBuilder,,,,
AddVertex,-1.39,1.9,-11.15,
AddVertex,-1.39,3.2,-11.15,
AddVertex,-1.39,3.2,-9.5,
AddVertex,-1.39,1.9,-9.5,
AddFace2,3,2,1,0
SetColor,80,80,160,90
Translate,0,0,9.45,
,,,,
CreateMeshBuilder,,,,
AddVertex,-1.7,1.9,-9.47,
AddVertex,-1.7,3.2,-9.47,
AddVertex,-2.3,3.2,-9.47,
AddVertex,-2.3,1.9,-9.47,
AddFace2,0,1,2,3
SetColor,80,80,160,90
Translate,1,0,9.45,
,,,,
,,,,
CreateMeshBuilder,,,,
AddVertex,-1.6,1.9,-9.47,
AddVertex,-1.6,3.2,-9.47,
AddVertex,-2.2,3.2,-9.47,
AddVertex,-2.2,1.9,-9.47,
AddFace2,0,1,2,3
SetColor,80,80,160,90
Translate,2.9,0,9.45,
,,,,
;--Kaca kabin masinis--,,,,
,,,,
;Kiri,,,,
CreateMeshBuilder,,,,
AddVertex,1.39,2,-9,
AddVertex,1.39,3.2,-9,
AddVertex,1.39,3.2,-10.118,
AddVertex,1.39,2,-10.118,
AddFace2,0,1,2,3
SetColor,80,80,160,90
Translate,0,0,-8.9,
,,,,
;Kanan,,,,
CreateMeshBuilder,,,,
AddVertex,-1.39,2,-9,
AddVertex,-1.39,3.2,-9,
AddVertex,-1.39,3.2,-10.118,
AddVertex,-1.39,2,-10.118,
AddFace2,3,2,1,0
SetColor,80,80,160,90
Translate,0,0,-8.9,
,,,,
;,,,,
; Kiri,,,,
; - Penyangga,,,,
CreateMeshBuilder,,,,
Cube,0.07,0.1,0.05,
SetColor,80,80,80,
Translate,1.18,2,-19.21,
,,,,
; - Kendali,,,,
CreateMeshBuilder,,,,
Cylinder,15,0.05,0.05,0.05
SetColor,60,60,60,
Translate,1.18,2.09,-19.21,
